NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A0002815,17J,JUVENILE ATTACHMENT,1F,17J,JUVENILE ATTACHMENT,1F,37369000,3513814,01/01/2015 12:09:56 AM,,01/01/2015 12:09:56 AM,01/01/2015 03:06:28 AM,NAT,Necessary Action Taken,Y,8A03,Convention Center Blvd & Canal St,70130,8,"(0.0, 0.0)"
A0003715,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 12:12:26 AM,01/01/2015 12:13:51 AM,01/01/2015 12:17:31 AM,01/01/2015 12:27:28 AM,NAT,Necessary Action Taken,N,1G02,S Broad Ave & Tulane Ave,70119,1,"(0.0, 0.0)"
A0007115,103M,MENTAL PATIENT,1A,21,COMPLAINT OTHER,1A,37369000,3513814,01/01/2015 12:31:43 AM,01/01/2015 01:16:25 AM,01/01/2015 01:21:31 AM,01/01/2015 02:24:28 AM,NAT,Necessary Action Taken,N,5M04,033XX Florida Ave,70117,5,"(0.0, 0.0)"
A0007415,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 12:33:56 AM,,01/01/2015 12:33:56 AM,01/01/2015 12:41:16 AM,NAT,Necessary Action Taken,Y,8E01,Royal St & Orleans Ave,70116,8,"(0.0, 0.0)"
A0012615,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 01:00:28 AM,,01/01/2015 01:00:28 AM,01/01/2015 01:22:41 AM,NAT,Necessary Action Taken,Y,8D01,Bourbon St & Canal St,70112,8,"(0.0, 0.0)"
A0013015,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 01:08:50 AM,,01/01/2015 01:08:50 AM,01/01/2015 01:25:39 AM,NAT,Necessary Action Taken,Y,8E01,Bourbon St & Orleans Ave,70116,8,"(0.0, 0.0)"
A0013115,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 01:09:06 AM,,01/01/2015 01:09:06 AM,01/01/2015 02:24:17 AM,NAT,Necessary Action Taken,Y,8B02,N Peters St & Bienville St,70130,8,"(0.0, 0.0)"
A0023315,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 02:01:27 AM,,01/01/2015 02:01:27 AM,01/01/2015 03:05:29 AM,NAT,Necessary Action Taken,Y,8C03,005XX Decatur St,70130,8,"(0.0, 0.0)"
A0023415,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 02:01:57 AM,,01/01/2015 02:01:57 AM,01/01/2015 02:35:40 AM,NAT,Necessary Action Taken,Y,8D03,N Rampart St & Conti St,70112,8,"(0.0, 0.0)"
C0044715,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,03/01/2015 11:43:21 AM,,,03/01/2015 11:46:40 AM,DUP,DUPLICATE,N,2U03,070XX Walmsley Ave,70125,2,"(0.0, 0.0)"
A0027415,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 02:33:45 AM,,01/01/2015 02:33:45 AM,01/01/2015 02:48:52 AM,NAT,Necessary Action Taken,Y,8D01,008XX Canal St,70112,8,"(0.0, 0.0)"
